time,source,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31
46.9,room,-80.00,-80.00,-80.00,-64.14,-59.08,-58.84,-54.28,-52.55,-64.13,-65.20,-65.84,-58.70,-63.20,-62.45,-51.68,-64.38,-57.99,-51.83,-65.34,-65.87,-74.03,-76.96,-79.95,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.9,processed,-80.00,-80.00,-80.00,-66.59,-65.23,-69.60,-60.72,-58.61,-64.66,-67.92,-66.49,-54.03,-65.61,-63.02,-58.47,-66.57,-60.56,-57.99,-67.04,-69.61,-79.23,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.0,ref,-80.00,-80.00,-69.40,-64.31,-70.46,-72.47,-60.42,-66.72,-69.64,-69.62,-63.45,-59.21,-62.60,-62.53,-51.97,-61.71,-56.69,-53.56,-61.99,-63.76,-69.29,-74.04,-77.30,-76.46,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.0,room,-80.00,-80.00,-74.88,-61.42,-63.73,-68.00,-55.77,-57.03,-59.54,-60.08,-58.16,-50.36,-57.92,-63.38,-50.62,-60.35,-53.25,-48.60,-56.69,-56.59,-66.38,-73.67,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.0,processed,-80.00,-80.00,-75.01,-65.01,-67.77,-69.22,-59.14,-59.87,-68.69,-66.07,-65.26,-55.71,-67.31,-63.51,-60.67,-67.15,-62.65,-57.12,-67.02,-69.36,-76.48,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.1,ref,-80.00,-80.00,-80.00,-77.46,-72.12,-59.88,-57.89,-59.12,-59.08,-56.43,-55.49,-50.29,-56.21,-56.73,-46.53,-57.24,-50.97,-50.81,-56.98,-58.67,-66.62,-71.87,-76.47,-76.25,-78.01,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.1,room,-80.00,-80.00,-80.00,-67.40,-69.16,-54.29,-58.67,-52.50,-55.10,-57.46,-55.82,-56.14,-58.14,-57.73,-50.17,-60.97,-58.43,-55.38,-62.31,-65.40,-75.13,-75.87,-79.35,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.1,processed,-80.00,-80.00,-80.00,-78.42,-66.98,-60.99,-60.95,-55.24,-63.58,-64.88,-60.82,-54.78,-65.19,-63.90,-56.50,-63.65,-62.04,-57.67,-65.30,-68.06,-76.15,-79.60,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.2,ref,-80.00,-80.00,-80.00,-80.00,-58.72,-62.25,-67.79,-66.25,-74.17,-66.44,-65.50,-60.95,-65.37,-62.01,-54.55,-63.49,-58.00,-61.57,-62.22,-70.19,-71.76,-73.99,-77.61,-78.70,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.2,room,-80.00,-80.00,-80.00,-77.21,-51.85,-49.37,-56.15,-54.00,-56.77,-63.88,-64.15,-57.07,-60.30,-62.19,-53.47,-62.30,-55.79,-59.87,-62.37,-70.78,-71.28,-75.39,-78.09,-79.69,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
