time,ref,room,processed
47.008005,-0.016907,-0.062469,0.019178
47.008027,-0.017944,-0.067688,0.016308
47.008050,-0.016815,-0.074432,0.013210
47.008073,-0.013580,-0.076996,0.009228
47.008095,-0.008759,-0.075439,0.006351
47.008118,-0.003448,-0.076172,0.004770
47.008141,0.001862,-0.078766,0.003273
47.008163,0.008820,-0.078491,0.001783
47.008186,0.017120,-0.072510,0.000632
47.008209,0.023926,-0.063416,-0.000722
47.008231,0.028717,-0.056366,-0.003821
47.008254,0.032532,-0.052734,-0.008664
47.008277,0.034515,-0.046967,-0.012448
47.008299,0.034943,-0.036987,-0.014877
47.008322,0.035400,-0.026459,-0.018443
47.008345,0.035706,-0.017151,-0.023469
47.008367,0.036102,-0.010132,-0.028505
47.008390,0.036407,-0.005341,-0.031782
47.008413,0.035522,-0.001129,-0.033824
47.008435,0.034760,0.003693,-0.037607
47.008458,0.033997,0.008301,-0.041413
47.008481,0.031281,0.012085,-0.041527
47.008503,0.026062,0.015686,-0.039168
47.008526,0.019470,0.019623,-0.037088
47.008549,0.012512,0.024719,-0.035402
47.008571,0.009399,0.028290,-0.034656
47.008594,0.009369,0.026825,-0.032813
47.008617,0.007233,0.022705,-0.029289
47.008639,0.001312,0.020142,-0.026398
47.008662,-0.007141,0.020691,-0.022706
47.008685,-0.013641,0.022095,-0.017414
47.008707,-0.018219,0.023132,-0.012159
47.008730,-0.023407,0.023682,-0.008318
47.008753,-0.029999,0.023438,-0.004867
47.008776,-0.035004,0.022278,-0.001247
47.008798,-0.037598,0.019867,0.004823
47.008821,-0.039825,0.017761,0.014444
47.008844,-0.042938,0.016022,0.025548
47.008866,-0.046967,0.012756,0.037207
47.008889,-0.051239,0.006927,0.048136
47.008912,-0.054413,0.000946,0.055605
47.008934,-0.058472,-0.004089,0.061562
47.008957,-0.062439,-0.010590,0.067354
47.008980,-0.064117,-0.018036,0.072891
47.009002,-0.063354,-0.025177,0.077732
47.009025,-0.060974,-0.029114,0.080580
47.009048,-0.056549,-0.029572,0.081045
47.009070,-0.049469,-0.028687,0.080383
47.009093,-0.040070,-0.029785,0.079275
47.009116,-0.031586,-0.033478,0.078917
47.009138,-0.025543,-0.041321,0.078817
47.009161,-0.019287,-0.051605,0.076584
47.009184,-0.013733,-0.060333,0.073418
47.009206,-0.011108,-0.065735,0.071390
47.009229,-0.009186,-0.072021,0.070332
47.009252,-0.005188,-0.079376,0.069227
47.009274,0.000732,-0.086121,0.066745
47.009297,0.007843,-0.088806,0.063064
47.009320,0.014526,-0.087799,0.060098
47.009342,0.020691,-0.086761,0.055868
47.009365,0.028351,-0.088257,0.048219
47.009388,0.038513,-0.087585,0.039327
47.009410,0.050598,-0.083771,0.031968
47.009433,0.062683,-0.079559,0.027034
47.009456,0.071472,-0.077850,0.023348
47.009478,0.075043,-0.077942,0.018628
47.009501,0.074249,-0.077637,0.014023
47.009524,0.070587,-0.074188,0.011044
47.009546,0.064941,-0.066925,0.007896
47.009569,0.058167,-0.056427,0.005446
47.009592,0.050079,-0.041656,0.006581
47.009615,0.041748,-0.024750,0.009220
47.009637,0.034027,-0.008026,0.011468
47.009660,0.026093,0.008087,0.013479
47.009683,0.016968,0.024353,0.014693
47.009705,0.007660,0.039398,0.016149
47.009728,-0.000092,0.050781,0.017938
47.009751,-0.005981,0.057281,0.018036
47.009773,-0.011566,0.061615,0.017635
47.009796,-0.017212,0.068237,0.018138
47.009819,-0.022400,0.078064,0.017901
47.009841,-0.026703,0.086945,0.016795
47.009864,-0.030457,0.092346,0.016587
47.009887,-0.033936,0.095367,0.017825
47.009909,-0.038513,0.099121,0.020988
47.009932,-0.042572,0.104065,0.024056
47.009955,-0.045868,0.108002,0.025608
47.009977,-0.049774,0.109131,0.026855
47.010000,-0.053833,0.106842,0.028387
47.010023,-0.054413,0.102020,0.027660
47.010045,-0.050201,0.094025,0.023752
47.010068,-0.044647,0.083435,0.019084
47.010091,-0.039551,0.071503,0.015292
47.010113,-0.035889,0.057190,0.013236
47.010136,-0.033020,0.037872,0.011025
47.010159,-0.031036,0.015625,0.007144
47.010181,-0.030182,-0.005310,0.002838
47.010204,-0.029510,-0.023621,-0.000099
47.010227,-0.028076,-0.041504,-0.002078
47.010249,-0.025238,-0.061981,-0.005063
47.010272,-0.021454,-0.081543,-0.008870
47.010295,-0.017181,-0.093964,-0.012119
47.010317,-0.013855,-0.099854,-0.013748
47.010340,-0.012177,-0.106201,-0.014849
47.010363,-0.009796,-0.114441,-0.017176
47.010385,-0.006256,-0.120728,-0.019579
47.010408,-0.002716,-0.121643,-0.020787
47.010431,0.001770,-0.119659,-0.021746
47.010454,0.009705,-0.119476,-0.023382
47.010476,0.020935,-0.121643,-0.025257
47.010499,0.033051,-0.119965,-0.027521
47.010522,0.042847,-0.112244,-0.030888
47.010544,0.048553,-0.101959,-0.035114
47.010567,0.052734,-0.092712,-0.038752
47.010590,0.057190,-0.086365,-0.040117
47.010612,0.060669,-0.080750,-0.040306
47.010635,0.061279,-0.073547,-0.040488
47.010658,0.059296,-0.063477,-0.039770
47.010680,0.055969,-0.052582,-0.038683
47.010703,0.052826,-0.040222,-0.039933
47.010726,0.049072,-0.027557,-0.043398
47.010748,0.043488,-0.015137,-0.046991
47.010771,0.038727,-0.003815,-0.049322
47.010794,0.037537,0.006165,-0.049560
47.010816,0.036224,0.015839,-0.048389
47.010839,0.032227,0.026611,-0.047336
47.010862,0.023560,0.037384,-0.044531
47.010884,0.010101,0.046021,-0.041317
47.010907,-0.004425,0.053009,-0.040035
47.010930,-0.015564,0.061096,-0.038928
47.010952,-0.024200,0.072693,-0.036727
47.010975,-0.032318,0.083954,-0.034757
47.010998,-0.039459,0.090942,-0.032746
47.011020,-0.043335,0.092712,-0.030926
47.011043,-0.044434,0.091492,-0.028794
47.011066,-0.046112,0.088837,-0.024545
47.011088,-0.047974,0.083679,-0.020097
47.011111,-0.049744,0.074463,-0.016472
47.011134,-0.052063,0.063293,-0.012106
47.011156,-0.053711,0.052612,-0.007221
47.011179,-0.051727,0.040497,-0.004292
47.011202,-0.046417,0.026184,-0.002855
47.011224,-0.039581,0.010223,-0.001466
47.011247,-0.033997,-0.005432,0.000198
47.011270,-0.029633,-0.018677,0.000380
47.011293,-0.023407,-0.030365,-0.002821
47.011315,-0.015198,-0.044373,-0.008137
47.011338,-0.008362,-0.059448,-0.012087
47.011361,-0.002869,-0.073578,-0.014136
47.011383,0.003448,-0.085785,-0.016171
47.011406,0.010468,-0.096619,-0.018478
47.011429,0.016510,-0.108521,-0.020262
47.011451,0.020142,-0.123627,-0.021774
47.011474,0.021088,-0.138123,-0.023531
47.011497,0.022888,-0.148499,-0.025742
47.011519,0.025299,-0.154999,-0.027159
47.011542,0.027802,-0.157562,-0.028869
47.011565,0.031952,-0.158600,-0.031767
47.011587,0.036163,-0.159760,-0.034361
47.011610,0.037872,-0.158600,-0.035883
47.011633,0.038666,-0.153656,-0.036805
47.011655,0.038086,-0.147034,-0.036817
47.011678,0.034363,-0.139160,-0.035526
47.011701,0.028320,-0.132416,-0.032431
47.011723,0.021423,-0.127319,-0.028529
47.011746,0.014343,-0.119720,-0.025673
